[2013-03-16 09:26:46] START
[2013-03-16 09:26:46] EDIT welcome/controllers/default.py: 2
[2013-11-05 01:09:36] EDIT Test/models/db.py: 4
[2013-11-05 01:09:57] EDIT Test/models/db.py: 0
[2013-11-05 01:10:11] EDIT Test/models/db.py: 0
[2013-11-05 01:11:36] EDIT Test/views/default/index.html: -25
[2013-11-05 01:12:49] EDIT Test/views/default/index.html: 1
[2013-11-05 01:13:57] CREATE ctrl.py: 0
[2013-11-05 01:14:57] EDIT Test/controllers/ctrl.py: 0
[2013-11-05 01:15:31] CREATE ctrl.html: 0
[2013-11-09 12:53:40] EDIT BookSharing/views/default/index.html: 5
[2013-11-09 12:55:21] EDIT BookSharing/views/default/index.html: 4
[2013-11-09 12:56:01] EDIT BookSharing/views/default/index.html: 0
[2013-11-09 12:56:35] EDIT BookSharing/views/default/index.html: 2
[2013-11-09 12:57:58] EDIT BookSharing/views/default/index.html: 3
[2013-11-09 12:58:23] EDIT BookSharing/views/default/index.html: 0
[2013-11-09 12:58:42] EDIT BookSharing/views/default/index.html: 1
[2013-11-09 12:58:54] EDIT BookSharing/views/default/index.html: 0
[2013-11-09 13:24:03] EDIT BookSharing/views/default/index.html: 1
[2013-11-09 13:24:19] EDIT BookSharing/views/default/index.html: 0
[2013-11-09 13:24:36] EDIT BookSharing/views/default/index.html: -1
[2013-11-09 19:40:42] EDIT BookSharing/models/menu.py: -106
[2013-11-09 19:41:31] EDIT BookSharing/models/menu.py: 1
[2013-11-09 19:48:25] EDIT BookSharing/views/default/user.html: -5
[2013-11-09 19:50:53] EDIT BookSharing/models/menu.py: -2
[2013-11-09 19:53:14] EDIT BookSharing/views/default/index.html: -21
[2013-11-09 19:53:49] EDIT BookSharing/views/default/index.html: -1
[2013-11-09 19:55:56] EDIT BookSharing/models/menu.py: 0
[2013-11-09 19:59:34] EDIT BookSharing/controllers/default.py: 2
[2013-11-09 20:00:47] EDIT BookSharing/controllers/default.py: 0
[2013-11-09 20:02:54] EDIT BookSharing/views/home.html: 0
[2013-11-09 20:04:56] EDIT BookSharing/views/default/home.html: -3
[2013-11-09 20:06:24] EDIT BookSharing/views/default/user.html: -18
[2013-11-09 20:06:46] EDIT BookSharing/views/default/user.html: 18
[2013-11-09 20:11:26] EDIT BookSharing/views/layout.html: -4
[2013-11-09 20:17:53] EDIT BookSharing/models/menu.py: 0
[2013-11-09 20:39:14] EDIT BookSharing/controllers/default.py: -1
[2013-11-09 20:39:36] EDIT BookSharing/controllers/default.py: 0
